Streamer,Group,Group count,Twitch Follower,Twitter Account(s),Twitter Follower,YouTube Accounts,YouTube Subs,Peak Twtich Subs,Peak Concurent Twitch Viewers,Avg Live Twitch Viewers (alltime),Avg Live Twitch Viewers (1HY21),Chess ELO,# of (known) Twitteraccounts,Birth Year,Totally relalistic net worth according to Google,Image Copyright
BotezLive,Chess,4,"934,885","alexandravbotez,itsandreabotez","297,551",UCAn8NrZ-J4CRfwodajqFYoQ,"556,000","3,929","86,864",,,,,1995,"$1,100,000.00",2021 Alexandra Botez (twitter)
danielrensch,Chess,4,"11,256",danielrensch,"25,599",UC6_wYihzxE2_7_GNPYKY42Q,"20,200",100+,"6,889",,,,,1991,"$500,000.00",Rebekah Sampson Photography
GMHikaru,Chess,4,"1,283,822",GMHikaru,"340,537",UCweCc7bSMX5J4jEH7HFImng,"1,110,000","12,618","76,963",,,,,1987,"$50,000,000.00",2019 Vladimir Vyatkin
GothamChess,Chess,4,"486,361",GothamChess,"144,334",UCQHX6ViZmPsWiYSFAyS0a3Q,"1,150,000","1,870+","29,766",,,,,1995,"$5,000,000.00",2020 @GothamChess (instagram)
Aydan,FPS,4,"2,537,627",Aydan,"687,500",UCD-JswJpUPu-ig2HvMtdWKQ,"1,370,000","14,021","77,954",,,,,1999,"$1,000,000.00",2021 @aydan (twitter)
NICKMERCS,FPS,4,"6,140,144",NICKMERCS,"2,012,189",UCDvm7YoLE5r3ZZ6MWyD2vGQ,"4,050,000","80,402","371,232",,,,,1990,"$5,500,000.00",2019 FaZe Clan (twitter)
Tfue,FPS,4,"10,664,026",TTfue,"4,235,276",UC9lSZSYpDDE18hoFA7YlBpw,"12,000,000","69,586","316,214",,,,,1998,"$6,000,000.00","Turner ""Tfue"" Tenney"
TimTheTatman,FPS,4,"7,015,135",TimTheTatman,"2,607,574",UCXBE_QQSZueB8082ml5fslg,"3,960,000","56,915","347,321",,,,,1990,"$6,500,000.00",2021 @timthetatman (twitter)
DHALUCARD,German,4,"427,819",DHALUCARD,"103,506",UCZTqRQYguJre4_fwluoJhUA,"481,000",945,"26,753","3,461","7,105",,,1990,"$416,000.00",2021 Dhalucard (instagram)
GRONKH,German,4,"1,386,654",gronkh,"1,329,757",UCYJ61XIK64sp6ZFFS8sctxw,"4,910,000","19,184","100,994","17,926","18,278",,,1977,"$2,300,000.00",2018 Gronkh (instagram)
PietSmiet,German,4,"690,728",PietSmiet,"539,250",UCqwGaUvq_l0RKszeHhZ5leA,"2,450,000",443,"125,743","5,432","6,030",,,1989,"$3,550,000.00",PietSmiet-Team
TobinatorLP,German,4,"185,260",TobinatorLP,"152,502",UC94RlC_fWzpISqa43BIEiEQ,"444,000",1106+,"6,206","1,763","1,458",,,1992,"$207,000.00",2020 TobinatorLP (facebook)
Doublelift,League,4,"1,576,187",Doublelift1,"949,091",UCrPCP1oaOr0AEs2JdxzfOFA,"654,000","3,219","64,735",,,,,1993,"$1,700,000.00",Riot Games
Jankos,League,4,"1,019,522",G2Jankos,"354,455",UCuIBqCNr-kQwalr5BjsFT6Q,"315,000","1,015+","42,426",,,,,1995,"$1,000,000.00",2021 @jankos.lol (instagram)
lol_nemesis,League,4,"470,848",nemesis_lol,"170,470",UCbMm7Vn6HCXquHX4ooqLIag,"128,000","2,156+","25,820",,,,,1999,"$64,050.00","2021 @christinaoh.21, @lol_nemesis (instagram)"
loltyler1,League,4,"4,484,365",loltyler1,"623,623",UCwV_0HmQkRrTcrReaMxPeDw,"2,690,000","36,666","368,484",,,,,1995,"$4,300,000.00",Tyler Steinkamp
